name,know_by_name,know_by_bio,know_by_name_description,know_by_bio_link,know_by_bio_summary,know_by_bio_summary_anonymized,know_by_bio_reasoning
朱元璋,,,,https://zh.wikipedia.org/wiki/%E6%9C%B1%E5%85%83%E7%92%8B,,,
刘邦,,,,https://zh.wikipedia.org/zh-hans/%E5%88%98%E9%82%A6,,,
朱棣,,,,https://zh.wikipedia.org/wiki/%E6%98%8E%E6%88%90%E7%A5%96,,,
张宗昌,,,,https://zh.wikipedia.org/wiki/%E5%BC%B5%E5%AE%97%E6%98%8C,,,
段祺瑞,,,,https://zh.wikipedia.org/wiki/%E6%AE%B5%E7%A5%BA%E7%91%9E,,,
George Washington,,,,https://en.wikipedia.org/wiki/George_Washington,,,
Joseph Stalin,,,,https://en.wikipedia.org/wiki/Joseph_Stalin,,,
Otto Von Bismarck,,,,https://en.wikipedia.org/wiki/Otto_von_Bismarck,,,
Grover Cleveland,,,,https://en.wikipedia.org/wiki/Grover_Cleveland,,,
Henry Kissinger,,,,https://en.wikipedia.org/wiki/Henry_Kissinger,,,
王鏊,,,,https://zh.wikipedia.org/wiki/%E7%8E%8B%E9%8F%8A,,,
张永,,,,https://zh.wikipedia.org/wiki/%E5%BC%A0%E6%B0%B8_(%E6%98%8E%E6%9C%9D%E5%AE%A6%E5%AE%98),,,
谷大用,,,,https://zh.wikipedia.org/wiki/%E8%B0%B7%E5%A4%A7%E7%94%A8,,,
高凤,,,,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%B3%B3,,,
杨一清,,,,https://zh.wikipedia.org/wiki/%E6%A5%8A%E4%B8%80%E6%B8%85,,,
何皇后,,,,https://zh.wikipedia.org/wiki/%E7%81%B5%E6%80%9D%E7%9A%87%E5%90%8E,,,
卢植,,,,https://zh.wikipedia.org/wiki/%E7%9B%A7%E6%A4%8D,,,
龙且,,,,https://wuu.wikipedia.org/wiki/%E9%BE%99%E4%B8%94,,,
项梁,,,,https://zh.wikipedia.org/wiki/%E9%A0%85%E6%A2%81,,,
张耳,,,,https://zh.wikipedia.org/wiki/%E5%BC%B5%E8%80%B3,,,
诸葛瞻,,,,https://zh.wikipedia.org/wiki/%E8%AF%B8%E8%91%9B%E7%9E%BB,,,
廖化,,,,https://zh.wikipedia.org/wiki/%E5%BB%96%E5%8C%96,,,
