name,know_by_name,know_by_bio,know_by_name_description,know_by_bio_link,know_by_bio_summary,know_by_bio_summary_anonymized,know_by_bio_reasoning
朱元璋,yes,,"Zhu Yuanzhang, also known as the Hongwu Emperor, was the founder and first emperor of China's Ming Dynasty, ruling from 1368 to 1398.",,,,
刘邦,yes,,"Liu Bang, also known as Emperor Gaozu of Han, was the founder and first emperor of the Han Dynasty in China, ruling from 202 BC to 195 BC.",,,,
朱棣,yes,,"朱棣, also known as the Yongle Emperor, was the third emperor of the Ming Dynasty in China, reigning from 1402 to 1424, known for his military campaigns and the construction of the Forbidden City.",,,,
张宗昌,yes,,"Zhang Zongchang was a Chinese warlord during the Warlord Era in the early 20th century, known for his military exploits and eccentric personality.",,,,
段祺瑞,yes,,"Duan Qirui was a Chinese warlord and politician during the early 20th century, serving as the Premier of the Republic of China and a key figure in the Beiyang government.",,,,
George Washington,yes,,"George Washington was the first President of the United States, serving from 1789 to 1797, and is known as a Founding Father of the nation.",,,,
Joseph Stalin,yes,,"Joseph Stalin was the leader of the Soviet Union from the mid-1920s until his death in 1953, known for his totalitarian rule and significant role in World War II.",,,,
Otto Von Bismarck,yes,,Otto von Bismarck was a 19th-century Prussian statesman who unified Germany and served as its first Chancellor.,,,,
Grover Cleveland,yes,,"Grover Cleveland was the 22nd and 24th President of the United States, serving in the late 19th century, and is the only president to serve two non-consecutive terms.",,,,
Herry Kissinger,yes,,Henry Kissinger is a prominent American diplomat and political scientist who served as the U.S. Secretary of State and National Security Advisor during the Nixon and Ford administrations in the 1970s.,,,,
王鏊,no,,,,,,
张永,no,,,,,,
谷大用,no,,,,,,
高凤,no,,,,,,
杨一清,no,,,,,,
何皇后,yes,,"何皇后, also known as Empress He, was the empress of the Eastern Han dynasty in China, known for her influence during the reign of her son, Emperor Ling, in the late 2nd century AD.",,,,
卢植,yes,,"卢植 (Lu Zhi) was a prominent scholar and official during the late Eastern Han Dynasty in China, known for his role as a mentor to several key historical figures, including Liu Bei.",,,,
龙且,no,,,,,,
项梁,yes,,"Xiang Liang was a Chinese military leader and rebel during the late Qin Dynasty, known for his role in the uprising against the Qin and as the uncle of Xiang Yu.",,,,
张耳,no,,,,,,
诸葛瞻,yes,,"Zhuge Zhan was a military general and official of the state of Shu Han during the Three Kingdoms period of China, known for being the son of the famous strategist Zhuge Liang.",,,,
廖化,yes,,Liao Hua was a military general of the state of Shu Han during the Three Kingdoms period of China.,,,,
鲍信,no,,,,,,
郑泰,no,,,,,,
郑泰,no,,,,,,
丁原,yes,,"丁原 (Ding Yuan) was a Chinese general and warlord during the late Eastern Han dynasty, known for his role in the events leading up to the Three Kingdoms period.",,,,
李肃,no,,,,,,
陈宫 ,yes,,"Chen Gong was a military strategist and advisor during the late Eastern Han dynasty in China, known for initially serving Cao Cao before defecting to Lü Bu.",,,,
法正,yes,,"Fa Zheng was a Chinese strategist and advisor during the late Eastern Han dynasty, known for his service under the warlord Liu Bei.",,,,
孟达,no,,,,,,
夏侯霸,yes,,"Xiahou Ba was a general of the state of Cao Wei during the Three Kingdoms period of China, who later defected to the rival state of Shu Han.",,,,
侯君集,no,,,,,,
李大亮,no,,,,,,
张行成,no,,,,,,
商輅,no,,,,,,
刘琨,yes,,"Liu Kun was a Chinese military general and politician during the Jin Dynasty, known for his efforts to defend northern China against the Xiongnu and other nomadic tribes.",,,,
段末波,no,,,,,,
司马荂,no,,,,,,
Leo von Caprivi,yes,,"Leo von Caprivi was a German general and statesman who served as the Chancellor of Germany from 1890 to 1894, succeeding Otto von Bismarck.",,,,
Botho zu Eulenburg,yes,,Botho zu Eulenburg was a German statesman who served as the Prime Minister of Prussia in the late 19th century.,,,,
Chlodwig Prince of Hohenlohe-Schillingsfürst,yes,,"Chlodwig, Prince of Hohenlohe-Schillingsfürst, was a German statesman who served as Chancellor of Germany from 1894 to 1900.",,,,
James Mill,yes,,"James Mill was a Scottish historian, economist, and philosopher of the early 19th century, known for his influential works on political economy and his role in the development of classical liberalism.",,,,
David Ricardo,yes,,"David Ricardo was a British political economist in the early 19th century, known for his theory of comparative advantage and contributions to classical economics.",,,,
Sir William Molesworth,yes,,Sir William Molesworth was a 19th-century British politician and a leading advocate for the abolition of transportation and the reform of colonial governance.,,,,
George Grote,yes,,"George Grote was a 19th-century English historian known for his works on ancient Greece, particularly his multi-volume 'History of Greece.'",,,,
Edwin von Manteuffel,yes,,"Edwin von Manteuffel was a Prussian field marshal and military leader in the 19th century, known for his role in the Austro-Prussian and Franco-Prussian Wars.",,,,
Otto von Manteuffel,yes,,"Otto von Manteuffel was a Prussian statesman in the 19th century, known for serving as the Minister President of Prussia from 1850 to 1858.",,,,
Eduard Vogel von Falckenstein,no,,,,,,
Friedrich Graf von Wrangel,yes,,"Friedrich Graf von Wrangel was a Prussian field marshal known for his military leadership during the 19th century, particularly in the German revolutions of 1848 and the Austro-Prussian War.",,,,
Ferdinand von Wrangel,yes,,Ferdinand von Wrangel was a 19th-century Russian explorer and naval officer known for his Arctic expeditions and contributions to the exploration of Siberia and the Arctic Ocean.,,,,
Vasily Golovnin,yes,,"Vasily Golovnin was a Russian navigator and explorer in the early 19th century, known for his voyages in the Pacific and his imprisonment in Japan.",,,,
Karl Friedrich von Steinmetz,yes,,"Karl Friedrich von Steinmetz was a Prussian general who served during the 19th century, notably in the Austro-Prussian and Franco-Prussian Wars.",,,,
Adolf von Bonin,yes,,"Adolf von Bonin was a Prussian general in the 19th century, known for his role in the Austro-Prussian War.",,,,
Wilhelm von Ramming,no,,,,,,
Heinrich von Heß,no,,,,,,
Karl Philipp Prince of Schwarzenberg,yes,,"Karl Philipp, Prince of Schwarzenberg, was an Austrian field marshal who played a significant role in the Napoleonic Wars, particularly known for leading the Austrian army at the Battle of Leipzig in 1813.",,,,
Jean Victor Marie Moreau,yes,,"Jean Victor Marie Moreau was a French general during the French Revolutionary Wars and the Napoleonic Wars, known for his opposition to Napoleon Bonaparte.",,,,
Albert Gallatin,yes,,Albert Gallatin was a Swiss-American politician and diplomat who served as the U.S. Secretary of the Treasury from 1801 to 1814 under Presidents Thomas Jefferson and James Madison.,,,,
Aaron Burr,yes,,"Aaron Burr was an American politician and lawyer who served as the third Vice President of the United States from 1801 to 1805, and is best known for killing Alexander Hamilton in a duel.",,,,
Jonathan Edwards,yes,,"Jonathan Edwards was an 18th-century American preacher, theologian, and philosopher known for his role in the Great Awakening and his famous sermon 'Sinners in the Hands of an Angry God.'",,,,
